claim_id,claim_text,original_text,fault_type,domain,condition,system_verdict,human_verdict
615237f5d5b30146,Heat flows spontaneously from hot objects to cold objects.,Heat flows spontaneously from hot objects to cold objects.,scraper:formula_mangling,general,review-queue,pending_review,
5cc4cf37d82f6074,Cherenkov detectors identify particles by the light cone angle (cos θ = 1/(nβ)).,Cherenkov detectors identify particles by the light cone angle (cos θ = 1/(nβ)).,scraper:negation_drop,optics-waves,review-queue,pending_review,
ea85fa6363961f79,Atomic force microscopy measures surface forces at the nanoscale.,Atomic force microscopy measures surface forces at the nanoscale.,ingest:entity_swap,mechanics,review-queue,pending_review,
5655dc093c09fb1b,Redshift z equa1s (λ_obs−λ_emit)/λ_emit = f_emit/f_obs − 1,Redshift z equals (λ_obs−λ_emit)/λ_emit = f_emit/f_obs − 1,scraper:ocr_noise,general,review-queue,pending_review,
4b1bd291b8bf329c,Nuclear fission of ²³⁵U releases ~200 MeV per nucleus — about 10⁶ times more per mass than chemical reactions.,Nuclear fission of ²³⁵U releases ~200 MeV per nucleus — about 10⁶ times more per mass than chemical reactions.,ingest:entity_swap,mechanics,review-queue,pending_review,
81cc8a24a0438bec,P_gauge equals P_abs − P_atm,P_gauge equals P_abs − P_atm,scraper:digit_swap,mechanics,review-queue,pending_review,
f21b1611de5564c8,LR circuit:,LR circuit:,scraper:ocr_noise,electromagnetism,review-queue,pending_review,
c48cb9e68fec0326,This means magnetic monopoles do not exist — magnetic field lines always form closed loops.,This means magnetic monopoles do not exist — magnetic field lines always form closed loops.,ingest:regime_confusion,electromagnetism,review-queue,pending_review,
337171ef9e564241,The nuclear binding energy is the energy required to separate a nucleus into its constituent nucleons.,The nuclear binding energy is the energy required to separate a nucleus into its constituent nucleons.,scraper:digit_swap,mechanics,review-queue,pending_review,
507f491ae24cec81,the debate equals philosophical,the debate equals philosophical,ingest:regime_confusion,general,review-queue,pending_review,
1d935ed74c5264ad,dS equals dQ_rev/T,dS equals dQ_rev/T,scraper:ocr_noise+ingest:regime_confusion,general,review-queue,pending_review,
feaea88e402e45ab,The X-ray tube current controls the number of photons produced.,The X-ray tube current controls the number of photons produced.,scraper:formula_mangling,modern-quantum,review-queue,pending_review,
2091604dfa3864b3,Damping coefficient equals measured in newton seconds per meter,Damping coefficient equals measured in newton seconds per meter,ingest:sign_flip,mechanics,review-queue,pending_review,
b207413634647fe6,saturation magnetization M_s (all domains aligned),saturation magnetization M_s (all domains aligned),ingest:sign_flip,electromagnetism,review-queue,pending_review,
22963ca69432d0dd,The excimer 1aser reshapes the cornea in LAS1K surgery.,The excimer laser reshapes the cornea in LASIK surgery.,scraper:ocr_noise,general,review-queue,pending_review,
2f9c8c4d458035ef,E² = (pc)² + (mc²)².,E² = (pc)² + (mc²)².,ingest:entity_swap,modern-quantum,review-queue,pending_review,
76301e166c014bc6,Conductivity is measured in siemens per meter.,Conductivity is measured in siemens per meter.,ingest:sign_flip,general,review-queue,pending_review,
0a382aeb390a194e,a + X → Y + b.,a + X → Y + b.,ingest:entity_swap,general,review-queue,pending_review,
4e90fd9bcf78f47a,The momentum flux of an EM wave is S/c.,The momentum flux of an EM wave is S/c.,ingest:fabricated_numeric,mechanics,review-queue,pending_review,
e26fb3f48ca2b517,exponential attenuation I equals I₀e^(−μx),exponential attenuation I equals I₀e^(−μx),ingest:sign_flip,general,review-queue,pending_review,
2907819344bc3a4d,watts is a unit of measurement equa1 to W,watts is a unit of measurement equal to W,scraper:ocr_noise,mechanics,review-queue,pending_review,
1b6382452ec08ff1,"At balance, no current through the galvanometer — used for precise resistance measurement.","At balance, no current through the galvanometer — used for precise resistance measurement.",ingest:entity_swap,electromagnetism,review-queue,pending_review,
da6e3ca8dcb5cb36,The entropy of an equals olated system never decreases,The entropy of an equals olated system never decreases,ingest:fabricated_numeric,general,review-queue,pending_review,
2ab04689e0a93165,q(t) = Q₀ cos(ω₀t).,q(t) = Q₀ cos(ω₀t).,scraper:digit_swap,general,review-queue,pending_review,
805bec9ca152fa54,Momentum is a vector quantity measured in kg·m/s.,Momentum is a vector quantity measured in kg·m/s.,scraper:ocr_noise,mechanics,review-queue,pending_review,
503f6df9bbae8d92,The Lorentz force on a charged particle equals the sum of electric and magnetic forces,The Lorentz force on a charged particle equals the sum of electric and magnetic forces,scraper:negation_drop,electromagnetism,review-queue,pending_review,
c0c8a324c6f60a12,Magnetic field equals measured in teslas,Magnetic field equals measured in teslas,scraper:ocr_noise,electromagnetism,review-queue,pending_review,
b41db0b63fe5d77d,Heat equals measured in joules,Heat equals measured in joules,scraper:unit_corruption,general,review-queue,pending_review,
c20718d96f287fe9,Thin spherical shell I = (2/3)MR².,Thin spherical shell I = (2/3)MR².,ingest:entity_swap,mechanics,review-queue,pending_review,
1d967a5d79088e9f,Relativ equals tic energy:,Relativ equals tic energy:,scraper:digit_swap,mechanics,review-queue,pending_review,
a8d920e03f0cd215,the net charge of an equals olated system remains constant,the net charge of an equals olated system remains constant,scraper:negation_drop,electromagnetism,review-queue,pending_review,
30694e7ed89d3523,"and constants
# Designed for maximum claim yield per character","and constants
# Designed for maximum claim yield per character",scraper:ocr_noise+ingest:regime_confusion,general,review-queue,pending_review,
ff09481dca777817,and recombines.,and recombines.,ingest:regime_confusion,electromagnetism,review-queue,pending_review,
4d510c0c35360008,Thin film interference:,Thin film interference:,scraper:truncation,optics-waves,review-queue,pending_review,
f15b6f415024d0cd,Density parameter Ω = ρ/ρ_c.,Density parameter Ω = ρ/ρ_c.,scraper:unit_corruption,general,review-queue,pending_review,
6f9510d7da4a2332,The wave equation for E:,The wave equation for E:,scraper:negation_drop,electromagnetism,review-queue,pending_review,
6a17d1a2fc6d02d1,The speed of light is the same in all inertial reference frames.,The speed of light is the same in all inertial reference frames.,scraper:digit_swap,optics-waves,review-queue,pending_review,
b5a4aaf0526a6613,1/R_eq = 1/R₁ + 1/R₂ + ...,1/R_eq = 1/R₁ + 1/R₂ + ...,scraper:unit_corruption,electromagnetism,review-queue,pending_review,
2ef8e82508c8afad,The probability current density is j equals (ℏ/2mi)(ψ*∇ψ − ψ∇ψ*),The probability current density is j equals (ℏ/2mi)(ψ*∇ψ − ψ∇ψ*),scraper:unit_corruption+ingest:entity_swap,electromagnetism,review-queue,pending_review,
b5eb857c8b776b2a,The atomic number Z is the number of protons.,The atomic number Z is the number of protons.,ingest:fabricated_numeric,modern-quantum,review-queue,pending_review,
3d94be8fed86202e,Age of universe 13.8×10⁹ years.,Age of universe 13.8×10⁹ years.,ingest:entity_swap,general,review-queue,pending_review,
f8563496825fd780,a = dv/dt = d²x/dt².,a = dv/dt = d²x/dt².,ingest:regime_confusion,mechanics,review-queue,pending_review,
fa2cdb1bcca3a975,"This is NOT an illusion — it is a consequence of the finite, invariant speed of light.","This is NOT an illusion — it is a consequence of the finite, invariant speed of light.",ingest:entity_swap,optics-waves,review-queue,pending_review,
ce1763622f4c1ba7,standing waves occur at frequencies f_n equals n(v/2L) for n = 1,standing waves occur at frequencies f_n equals n(v/2L) for n = 1,scraper:digit_swap,general,review-queue,pending_review,
ca498e3e7def0af7,"when source moves faster than wave speed (v_s > v), wavefronts pile up into a cone.","when source moves faster than wave speed (v_s > v), wavefronts pile up into a cone.",scraper:formula_mangling,general,review-queue,pending_review,
869a0d2f83169deb,Supermassive black holes (10⁶-10¹⁰ M_sun) at galaxy centers.,Supermassive black holes (10⁶-10¹⁰ M_sun) at galaxy centers.,ingest:regime_confusion,mechanics,review-queue,pending_review,
35ad18165f163328,"Gibbs free energy G = H − TS determines spontaneity at constant T,P.","Gibbs free energy G = H − TS determines spontaneity at constant T,P.",ingest:entity_swap,mechanics,review-queue,pending_review,
33c2be59af194081,Relativistic momentum exceeds the classical value at high speeds.,Relativistic momentum exceeds the classical value at high speeds.,ingest:fabricated_numeric,mechanics,review-queue,pending_review,
b26da3e751998888,natural frequency ω₀ = 1.39/√(LC).,natural frequency ω₀ = 1/√(LC).,ingest:fabricated_numeric,general,review-queue,pending_review,
ad0386f17a89e9a4,F = qv×B = IL×B.,F = qv×B = IL×B.,scraper:ocr_noise,general,review-queue,pending_review,
cacc2bfd8302a1e1,though modern analys equals attributes it to aeroelastic flutter rather than pure resonance,though modern analys equals attributes it to aeroelastic flutter rather than pure resonance,scraper:ocr_noise,mechanics,review-queue,pending_review,
3adb1d852ff3cae3,Electron microscopes exploit short de Broglie wavelengths (λ ~ 0.004 nm for 100 keV electrons) to achieve sub-nanometer resolution — far exceeding optical microscopes limited by λ ~ 400–700 nm.,Electron microscopes exploit short de Broglie wavelengths (λ ~ 0.004 nm for 100 keV electrons) to achieve sub-nanometer resolution — far exceeding optical microscopes limited by λ ~ 400–700 nm.,scraper:ocr_noise,modern-quantum,review-queue,pending_review,
03bf11c69ceec837,Power equals measured in watts,Power equals measured in watts,ingest:fabricated_numeric,general,review-queue,pending_review,
66b76a5163474679,Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass.,Newton's Second Law states that the acceleration of an object is directly proportional to the net force acting on it and inversely proportional to its mass.,ingest:entity_swap,mechanics,review-queue,pending_review,
642468bf6e67ad17,The Compton effect demonstrates the particle nature of light.,The Compton effect demonstrates the particle nature of light.,scraper:formula_mangling,optics-waves,review-queue,pending_review,
7c1673a8bc96f866,The Doppler effect for light:,The Doppler effect for light:,scraper:unit_corruption,optics-waves,review-queue,pending_review,
6217e4852a8202c7,Geostationary sate1lites orbit at about thirty-six thousand kilometers altitude.,Geostationary satellites orbit at about thirty-six thousand kilometers altitude.,scraper:ocr_noise,general,review-queue,pending_review,
c23f2f12926e3ff1,Ferromagnetism arises from alig,Ferromagnetism arises from aligned electron spins in domains.,scraper:truncation,general,review-queue,pending_review,
c5a20ef816e1d760,The unit of current is the ampere.,The unit of current is the ampere.,ingest:entity_swap,electromagnetism,review-queue,pending_review,
0b128027db972256,frequency both increase to match relativ equals tic particle energy,frequency both increase to match relativ equals tic particle energy,ingest:entity_swap,mechanics,review-queue,pending_review,
ae2ab0f03b549637,Maxwell's equations in vacuum predict electromagnetic waves.,Maxwell's equations in vacuum predict electromagnetic waves.,ingest:entity_swap,electromagnetism,review-queue,pending_review,
c642f2e5d2ee0049,Spacelike intervals have Δs² < 0 and cannot be causally connected.,Spacelike intervals have Δs² < 0 and cannot be causally connected.,scraper:negation_drop,general,review-queue,pending_review,
9fc9b473f6f7f86e,alpha decay (⁴He nucleus),alpha decay (⁴He nucleus),scraper:truncation,modern-quantum,review-queue,pending_review,
5c22f636653cad8c,The power dissipated in a resistor is P equals IV = I²R = V²/R,The power dissipated in a resistor is P equals IV = I²R = V²/R,scraper:unit_corruption,electromagnetism,review-queue,pending_review,
31739bb10a2c7c55,stat equals tical scatter),stat equals tical scatter),ingest:regime_confusion,general,review-queue,pending_review,
18d86e25f5367da5,Luminosity is measured in watts.,Luminosity is measured in watts.,scraper:ocr_noise,general,review-queue,pending_review,
99129ed3b0ad78f3,"∮ B·dl = μ₀(I_enc + ε₀ dΦ_E/dt)

The displacement current term (ε₀ dΦ_E/dt) was Maxwell's addition, which predicts electromagnetic waves.","∮ B·dl = μ₀(I_enc + ε₀ dΦ_E/dt)

The displacement current term (ε₀ dΦ_E/dt) was Maxwell's addition, which predicts electromagnetic waves.",ingest:entity_swap,electromagnetism,review-queue,pending_review,
60ba0360a2594bbb,Cherenkov radiation equals the electromagnetic analog — charged particle exceeds light speed in a medium,Cherenkov radiation equals the electromagnetic analog — charged particle exceeds light speed in a medium,scraper:digit_swap,electromagnetism,review-queue,pending_review,
87aafe9d45aa6bcd,the outcome is fundamentally probabilistic.,the outcome is fundamentally probabilistic.,scraper:unit_corruption,general,review-queue,pending_review,
8b4743299042208b,Avogadro's number N_A = 6.02214076×10²³ mol⁻¹.,Avogadro's number N_A = 6.02214076×10²³ mol⁻¹.,ingest:sign_flip,general,review-queue,pending_review,
e1d07f4be2980acb,Hubble's law:,Hubble's law:,scraper:formula_mangling,general,review-queue,pending_review,
51400ef3917d3ca4,Energy density of B field:,Energy density of B field:,scraper:digit_swap,mechanics,review-queue,pending_review,
7d131d5d3e18b4c8,The efficiency of a Carnot engine equals the maximum possible between two temperatures,The efficiency of a Carnot engine equals the maximum possible between two temperatures,scraper:formula_mangling,general,review-queue,pending_review,
f1e7299ae7530461,"Position, Displacement","Position, Displacement",ingest:fabricated_numeric,mechanics,review-queue,pending_review,
0c3747143d750a76,Force equals mass times acceleration.,Force equals mass times acceleration.,ingest:regime_confusion,mechanics,review-queue,pending_review,
0f4188c4db0729bc,energy equals conserved,energy equals conserved,scraper:negation_drop,mechanics,review-queue,pending_review,
eeb2540529332c55,The cosmological principle states the universe is homogeneous on large scales.,The cosmological principle states the universe is homogeneous on large scales.,ingest:entity_swap,general,review-queue,pending_review,
a8a8dad44e625883,The amplitude A is the maximum displacement.,The amplitude A is the maximum displacement.,ingest:fabricated_numeric,mechanics,review-queue,pending_review,
fc93c4e51dd22de2,The escape speed from a body of mass M and radius R is v_esc = √(2GM/R).,The escape speed from a body of mass M and radius R is v_esc = √(2GM/R).,ingest:entity_swap,mechanics,review-queue,pending_review,
9d29a70cec658508,M = C B/T where C is Curie constant.,M = C B/T where C is Curie constant.,scraper:formula_mangling+ingest:sign_flip,electromagnetism,review-queue,pending_review,
715e70424a1b1992,ρ_object/ρ_fluid.,ρ_object/ρ_fluid.,ingest:regime_confusion,general,review-queue,pending_review,
316ba1ce3c9a1685,"As v → c, γ → ∞ so p → ∞ — infinite momentum (and thus infinite force/energy) is required to reach c.","As v → c, γ → ∞ so p → ∞ — infinite momentum (and thus infinite force/energy) is required to reach c.",scraper:ocr_noise,mechanics,review-queue,pending_review,
aa88fe6b874abe04,K_max equals hf − φ,K_max equals hf − φ,ingest:sign_flip,general,review-queue,pending_review,
0e52715b503ccfc8,"For a typical power plant with T_H = 800 K and T_C = 300 K, η_max = 62.5%.","For a typical power plant with T_H = 800 K and T_C = 300 K, η_max = 62.5%.",ingest:entity_swap,general,review-queue,pending_review,
ac0fedec5e00b325,1 curie (Ci) = 3.7×10¹⁰ Bq.,1 curie (Ci) = 3.7×10¹⁰ Bq.,scraper:truncation,modern-quantum,review-queue,pending_review,
356dcbaacc09ade3,The familiar F equals ma assumes cons,The familiar F equals ma assumes constant mass,scraper:truncation+ingest:sign_flip,mechanics,review-queue,pending_review,
9c6561ab9bdbab70,The electric field due to an infinite line of charge with linear charge density λ is E = 2kλ/r (perpendicular to the line).,The electric field due to an infinite line of charge with linear charge density λ is E = 2kλ/r (perpendicular to the line).,ingest:entity_swap,electromagnetism,review-queue,pending_review,
6141d32c1e55814a,f_beat equals |f₁ − f₂|,f_beat equals |f₁ − f₂|,scraper:ocr_noise,general,review-queue,pending_review,
44f425e458202789,value measures thermal res equals tance:,value measures thermal res equals tance:,scraper:digit_swap,general,review-queue,pending_review,
b329c131deb499da,"In a perfectly inelastic collision, the objects stick together after the collision and move with a common velocity.","In a perfectly inelastic collision, the objects stick together after the collision and move with a common velocity.",ingest:sign_flip,mechanics,review-queue,pending_review,
39932b93f10b7362,Charge equals measured in coulombs,Charge equals measured in coulombs,ingest:fabricated_numeric,electromagnetism,review-queue,pending_review,
461c880157fe85f7,Positron emission tomography detects annihilation photons.,Positron emission tomography detects annihilation photons.,scraper:ocr_noise,modern-quantum,review-queue,pending_review,
2dfddf9db9e1e53f,where A is plate area and d equals separation,where A is plate area and d equals separation,scraper:unit_corruption,electromagnetism,review-queue,pending_review,
895ea3a878abaa1f,The unit of permittivity equals the farad per meter,The unit of permittivity equals the farad per meter,ingest:fabricated_numeric,general,review-queue,pending_review,
8701c93d78c002cb,Superconductors have zero electrical resistance below a critical temperature.,Superconductors have zero electrical resistance below a critical temperature.,scraper:truncation,electromagnetism,review-queue,pending_review,
80c104e5d343a8c6,N equally spaced slits produce principal maxima at d sin θ = mλ (same condition as double slit).,N equally spaced slits produce principal maxima at d sin θ = mλ (same condition as double slit).,ingest:entity_swap,electromagnetism,review-queue,pending_review,
7e6088b1c7f097bb,C_V equals (5/2)R,C_V equals (5/2)R,ingest:sign_flip,general,review-queue,pending_review,
6fb7dbc483fa3c0d,dB = (μ₀/4π)(Idl×r̂/r²).,dB = (μ₀/4π)(Idl×r̂/r²).,scraper:negation_drop,general,review-queue,pending_review,
f4328b4f75637eb1,The secondary rainbow has reversed color order and is dimmer.,The secondary rainbow has reversed color order and is dimmer.,ingest:regime_confusion,general,review-queue,pending_review,
47d9246776c84074,dP/dT = L/(TΔV) for phase transitions.,dP/dT = L/(TΔV) for phase transitions.,ingest:regime_confusion,general,review-queue,pending_review,
